Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
19	:	1596496025.727	     1.446	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/240000/C16B8C76-1896-F145-BA9D-2838AD4457DB.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/C16B8C76-1896-F145-BA9D-2838AD4457DB.root
12	:	1596496025.645	     1.740	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/22B85624-4AD9-FA46-8995-FBD353A4846C.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/22B85624-4AD9-FA46-8995-FBD353A4846C.root
11	:	1596496025.632	     1.759	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/6B2CF8E1-1F2A-C143-A3D0-B7666123AFBD.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/6B2CF8E1-1F2A-C143-A3D0-B7666123AFBD.root
15	:	1596496025.691	     1.700	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/497925BC-E9B9-3445-A8FC-62DA639D3E8A.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/497925BC-E9B9-3445-A8FC-62DA639D3E8A.root
14	:	1596496025.675	     1.745	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/DC443ED7-846D-B543-890B-C4F81FC61CD4.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/DC443ED7-846D-B543-890B-C4F81FC61CD4.root
16	:	1596496025.697	     1.749	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/64C9FD2A-8B25-7A4E-9EDA-B25800E1E3E6.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/64C9FD2A-8B25-7A4E-9EDA-B25800E1E3E6.root
13	:	1596496025.669	     1.778	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/E8CEDEF7-A91D-6843-9613-D5AAB7C28E2D.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/E8CEDEF7-A91D-6843-9613-D5AAB7C28E2D.root
18	:	1596496025.716	     1.730	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/34F41011-6B12-834D-ADD3-2EAC1E00746D.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/34F41011-6B12-834D-ADD3-2EAC1E00746D.root
17	:	1596496025.701	     1.779	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/B6053EC0-3B25-7B43-9BF3-367919A1F142.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/B6053EC0-3B25-7B43-9BF3-367919A1F142.root
20	:	1596496025.754	     1.907	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/3BB1580F-C109-C342-833F-969C47625D1B.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/3BB1580F-C109-C342-833F-969C47625D1B.root
